Id,Age,Attrition,BusinessTravel,E,Department,DistanceFromHome,Education,Education_code,EducationField,EmployeeNumber,EnvironmentSatisfaction,EnvironmentSatisfaction_code,Gender,HourlyRate,JobInvolvement,JobInvolvement_code,JobLevel,JobRole,JobSatisfaction,JobSatisfaction_code,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,PerformanceRating_code,RelationshipSatisfaction,RelationshipSatisfaction_code,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,WorkLifeBalance_code,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
16,35,No,Travel_Frequently,944,Sales,1,Bachelor,3,Marketing,314,High,3,Female,92,High,3,3,Sales Executive,High,3,Single,8789,9096,1,No,14,Excellent,3,Low,1,0,10,3,Best,4,10,7,0,8
17,33,No,Travel_Rarely,1075,Human Resources,3,College,2,Human Resources,910,Very High,4,Male,57,High,3,1,Human Resources,Medium,2,Divorced,2277,22650,3,Yes,11,Excellent,3,High,3,1,7,4,Best,4,4,3,0,3
18,31,No,Travel_Rarely,106,Human Resources,2,Bachelor,3,Human Resources,424,Low,1,Male,62,Medium,2,2,Human Resources,Low,1,Married,6410,17822,3,No,12,Excellent,3,Very High,4,0,9,1,Better,3,2,2,1,0
19,19,Yes,Travel_Rarely,419,Sales,21,Bachelor,3,Other,959,Very High,4,Male,37,Medium,2,1,Sales Representative,Medium,2,Single,2121,9947,1,Yes,13,Excellent,3,Medium,2,0,1,3,Best,4,1,0,0,0
20,30,No,Travel_Rarely,852,Research & Development,1,Below College,1,Life Sciences,104,Very High,4,Male,55,Medium,2,2,Laboratory Technician,Very High,4,Married,5126,15998,1,Yes,12,Excellent,3,High,3,2,10,1,Good,2,10,8,3,0
21,51,Yes,Travel_Frequently,1150,Research & Development,8,Master,4,Life Sciences,179,Low,1,Male,53,Low,1,3,Manufacturing Director,Very High,4,Single,10650,25150,2,No,15,Excellent,3,Very High,4,0,18,2,Better,3,4,2,0,3
22,40,No,Travel_Rarely,759,Sales,2,College,2,Marketing,516,Very High,4,Female,46,High,3,2,Sales Executive,Medium,2,Divorced,5715,22553,7,No,12,Excellent,3,High,3,2,8,5,Better,3,5,4,1,3
23,33,No,Travel_Rarely,589,Research & Development,28,Master,4,Life Sciences,1549,Medium,2,Male,79,High,3,2,Laboratory Technician,High,3,Married,5207,22949,1,Yes,12,Excellent,3,Medium,2,1,15,3,Better,3,15,14,5,7
24,33,No,Travel_Rarely,267,Research & Development,21,Bachelor,3,Medical,1698,Medium,2,Male,79,Very High,4,1,Laboratory Technician,Medium,2,Married,2028,13637,1,No,18,Excellent,3,Very High,4,3,14,6,Better,3,14,11,2,13
25,43,No,Travel_Rarely,1179,Sales,2,Bachelor,3,Medical,1706,Very High,4,Male,73,High,3,2,Sales Executive,Very High,4,Married,7847,6069,1,Yes,17,Excellent,3,Low,1,1,10,3,Better,3,10,9,8,8
26,55,No,Travel_Rarely,478,Research & Development,2,Bachelor,3,Medical,1770,High,3,Male,60,Medium,2,5,Research Director,Low,1,Married,19038,19805,8,No,12,Excellent,3,Medium,2,3,34,2,Better,3,1,0,0,0
27,49,No,Travel_Rarely,464,Research & Development,16,Bachelor,3,Medical,1674,Very High,4,Female,74,High,3,1,Laboratory Technician,Low,1,Divorced,2587,24941,4,Yes,16,Excellent,3,Medium,2,1,17,2,Good,2,2,2,2,2
28,32,No,Travel_Rarely,977,Research & Development,2,Bachelor,3,Medical,1671,Very High,4,Male,45,High,3,2,Research Scientist,Medium,2,Divorced,5470,25518,0,No,13,Excellent,3,High,3,2,10,4,Good,2,9,5,1,6
29,47,No,Travel_Rarely,465,Research & Development,1,Bachelor,3,Technical Degree,1438,Low,1,Male,74,High,3,1,Research Scientist,Very High,4,Married,3420,10205,7,No,12,Excellent,3,High,3,1,17,2,Good,2,6,5,1,2
30,38,No,Travel_Rarely,371,Research & Development,2,Bachelor,3,Life Sciences,24,Very High,4,Male,45,High,3,1,Research Scientist,Very High,4,Single,3944,4306,5,Yes,11,Excellent,3,High,3,0,6,3,Better,3,3,2,1,2
31,42,No,Non-Travel,335,Research & Development,23,College,2,Life Sciences,1976,Very High,4,Male,37,Medium,2,2,Research Scientist,High,3,Single,4332,14811,1,No,12,Excellent,3,Very High,4,0,20,2,Better,3,20,9,3,7
32,48,No,Travel_Frequently,117,Research & Development,22,Bachelor,3,Medical,1900,Very High,4,Female,58,High,3,4,Manager,Very High,4,Divorced,17174,2437,3,No,11,Excellent,3,Medium,2,1,24,3,Better,3,22,17,4,7
33,44,No,Non-Travel,489,Research & Development,23,Bachelor,3,Medical,132,Medium,2,Male,67,High,3,2,Laboratory Technician,Medium,2,Married,2042,25043,4,No,12,Excellent,3,High,3,1,17,3,Best,4,3,2,1,2
34,42,No,Travel_Frequently,532,Research & Development,29,College,2,Life Sciences,547,Low,1,Female,92,High,3,2,Research Scientist,High,3,Divorced,4556,12932,2,No,11,Excellent,3,Medium,2,1,19,3,Better,3,5,4,0,2
35,40,No,Travel_Rarely,1194,Research & Development,2,Master,4,Medical,2051,High,3,Female,98,High,3,1,Research Scientist,High,3,Married,2001,12549,2,No,14,Excellent,3,Medium,2,3,20,2,Better,3,5,3,0,2
36,42,No,Travel_Rarely,932,Research & Development,1,College,2,Life Sciences,827,Very High,4,Female,43,Medium,2,2,Manufacturing Director,Very High,4,Married,6062,4051,9,Yes,13,Excellent,3,Very High,4,1,8,4,Better,3,4,3,0,2
37,38,No,Travel_Frequently,1189,Research & Development,1,Bachelor,3,Life Sciences,1668,Very High,4,Male,90,High,3,2,Research Scientist,Very High,4,Married,4735,9867,7,No,15,Excellent,3,Very High,4,2,19,4,Best,4,13,11,2,9
38,28,No,Travel_Rarely,857,Research & Development,10,Bachelor,3,Other,1097,High,3,Female,59,High,3,2,Research Scientist,High,3,Single,3660,7909,3,No,13,Excellent,3,Very High,4,0,10,4,Best,4,8,7,1,7
39,39,Yes,Travel_Frequently,203,Research & Development,2,Bachelor,3,Life Sciences,1127,Low,1,Male,84,High,3,4,Healthcare Representative,Very High,4,Divorced,12169,13547,7,No,11,Excellent,3,Very High,4,3,21,4,Better,3,18,7,11,5
40,31,Yes,Travel_Rarely,202,Research & Development,8,Bachelor,3,Life Sciences,1433,Low,1,Female,34,Medium,2,1,Research Scientist,Medium,2,Single,1261,22262,1,No,12,Excellent,3,High,3,0,1,3,Best,4,1,0,0,0
41,52,No,Non-Travel,771,Sales,2,Master,4,Life Sciences,329,Low,1,Male,79,Medium,2,5,Manager,High,3,Single,19068,21030,1,Yes,18,Excellent,3,Very High,4,0,33,2,Best,4,33,7,15,12
42,20,No,Travel_Rarely,727,Sales,9,Below College,1,Life Sciences,1680,Very High,4,Male,54,High,3,1,Sales Representative,Low,1,Single,2728,21082,1,No,11,Excellent,3,Low,1,0,2,3,Better,3,2,2,0,2
43,26,Yes,Travel_Frequently,887,Research & Development,5,College,2,Medical,848,High,3,Female,88,Medium,2,1,Research Scientist,High,3,Married,2366,20898,1,Yes,14,Excellent,3,Low,1,1,8,2,Better,3,8,7,1,7
44,27,No,Travel_Rarely,1115,Research & Development,3,Master,4,Medical,700,Low,1,Male,54,Medium,2,1,Research Scientist,Very High,4,Single,2045,15174,0,No,13,Excellent,3,Very High,4,0,5,0,Better,3,4,2,1,1
45,50,No,Travel_Rarely,1322,Research & Development,28,Bachelor,3,Life Sciences,1317,Very High,4,Female,43,High,3,4,Research Director,Low,1,Married,16880,22422,4,Yes,11,Excellent,3,Medium,2,0,25,2,Better,3,3,2,1,2
46,36,No,Travel_Rarely,530,Sales,2,Master,4,Life Sciences,1710,High,3,Female,51,High,3,2,Sales Representative,Very High,4,Single,4502,7439,3,No,15,Excellent,3,High,3,0,17,2,Good,2,13,7,6,7
47,23,No,Travel_Rarely,571,Research & Development,12,College,2,Other,1982,Very High,4,Male,78,High,3,1,Laboratory Technician,Very High,4,Single,2647,13672,1,No,13,Excellent,3,High,3,0,5,6,Best,4,5,2,1,4
48,41,Yes,Travel_Frequently,143,Sales,4,Bachelor,3,Marketing,488,Low,1,Male,56,High,3,2,Sales Executive,Medium,2,Single,9355,9558,1,No,18,Excellent,3,High,3,0,8,5,Better,3,8,7,7,7
49,33,No,Travel_Rarely,1099,Research & Development,4,Master,4,Medical,1502,Low,1,Female,82,Medium,2,1,Laboratory Technician,Medium,2,Married,3838,8192,8,No,11,Excellent,3,Very High,4,0,8,5,Better,3,5,4,0,2
50,30,No,Travel_Rarely,1329,Sales,29,Master,4,Life Sciences,1211,High,3,Male,61,High,3,2,Sales Executive,Low,1,Divorced,4115,13192,8,No,19,Excellent,3,High,3,3,8,3,Better,3,4,3,0,3
51,35,No,Travel_Rarely,1258,Research & Development,1,Master,4,Life Sciences,826,Very High,4,Female,40,Very High,4,1,Research Scientist,High,3,Single,2506,13301,3,No,13,Excellent,3,High,3,0,7,0,Better,3,2,2,2,2
52,38,No,Travel_Rarely,397,Research & Development,2,College,2,Medical,1638,Very High,4,Female,54,Medium,2,3,Manufacturing Director,High,3,Married,7756,14199,3,Yes,19,Excellent,3,Very High,4,1,10,6,Best,4,5,4,0,2
53,28,No,Travel_Rarely,440,Research & Development,21,Bachelor,3,Medical,221,High,3,Male,42,High,3,1,Research Scientist,Very High,4,Married,2713,6672,1,No,11,Excellent,3,High,3,1,5,2,Bad,1,5,2,0,2
54,41,No,Non-Travel,256,Sales,10,College,2,Medical,1329,High,3,Male,40,Low,1,2,Sales Executive,Medium,2,Single,6151,22074,1,No,13,Excellent,3,Low,1,0,19,4,Better,3,19,2,11,9
55,34,No,Travel_Rarely,1346,Research & Development,19,College,2,Medical,18,Medium,2,Male,93,High,3,1,Laboratory Technician,Very High,4,Divorced,2661,8758,0,No,11,Excellent,3,High,3,1,3,2,Better,3,2,2,1,2
56,35,No,Travel_Frequently,1182,Sales,11,College,2,Marketing,1137,Very High,4,Male,54,High,3,2,Sales Executive,Very High,4,Divorced,4968,18500,1,No,11,Excellent,3,Very High,4,1,5,3,Better,3,5,2,0,2
57,50,No,Travel_Rarely,1046,Research & Development,10,Bachelor,3,Technical Degree,491,Very High,4,Male,100,Medium,2,3,Healthcare Representative,Very High,4,Single,10496,2755,6,No,15,Excellent,3,Very High,4,0,20,2,Better,3,4,3,1,3
58,38,No,Travel_Rarely,827,Research & Development,1,Master,4,Life Sciences,724,Medium,2,Female,33,Very High,4,2,Healthcare Representative,Very High,4,Single,7625,19383,0,No,13,Excellent,3,High,3,0,10,4,Good,2,9,7,1,8
59,28,No,Travel_Rarely,1169,Human Resources,8,College,2,Medical,869,Medium,2,Male,63,Medium,2,1,Human Resources,Very High,4,Divorced,4936,23965,1,No,13,Excellent,3,Very High,4,1,6,6,Better,3,5,1,0,4
60,21,No,Travel_Rarely,501,Sales,5,Below College,1,Medical,2021,High,3,Male,58,High,3,1,Sales Representative,Low,1,Single,2380,25479,1,Yes,11,Excellent,3,Very High,4,0,2,6,Better,3,2,2,1,2
61,53,No,Travel_Rarely,1219,Sales,2,Master,4,Life Sciences,23,Low,1,Female,78,Medium,2,4,Manager,Very High,4,Married,15427,22021,2,No,16,Excellent,3,High,3,0,31,3,Better,3,25,8,3,7
62,22,No,Non-Travel,457,Research & Development,26,College,2,Other,1605,Medium,2,Female,85,Medium,2,1,Research Scientist,High,3,Married,2814,10293,1,Yes,14,Excellent,3,Medium,2,0,4,2,Good,2,4,2,1,3
63,52,No,Travel_Rarely,258,Research & Development,8,Master,4,Other,1409,High,3,Female,54,High,3,1,Laboratory Technician,Low,1,Married,2950,17363,9,No,13,Excellent,3,High,3,0,12,2,Bad,1,5,4,0,4
64,34,No,Non-Travel,999,Research & Development,26,Below College,1,Technical Degree,1374,Low,1,Female,92,Medium,2,1,Research Scientist,High,3,Divorced,2029,15891,1,No,20,Outstanding,4,High,3,3,5,2,Better,3,5,4,0,0
65,55,No,Travel_Rarely,147,Research & Development,20,College,2,Technical Degree,389,Medium,2,Male,37,High,3,2,Laboratory Technician,Very High,4,Married,5415,15972,3,Yes,19,Excellent,3,Very High,4,1,12,4,Better,3,10,7,0,8
66,37,Yes,Travel_Rarely,807,Human Resources,6,Master,4,Human Resources,133,High,3,Male,63,High,3,1,Human Resources,Low,1,Divorced,2073,23648,4,Yes,22,Outstanding,4,Very High,4,0,7,3,Better,3,3,2,0,2
67,34,No,Travel_Rarely,665,Research & Development,6,Master,4,Other,138,Low,1,Female,41,High,3,2,Research Scientist,High,3,Single,4809,12482,1,No,14,Excellent,3,High,3,0,16,3,Better,3,16,13,2,10
68,36,No,Travel_Rarely,1396,Research & Development,5,College,2,Life Sciences,304,Very High,4,Male,62,High,3,2,Laboratory Technician,Medium,2,Single,5914,9945,8,No,16,Excellent,3,Very High,4,0,16,3,Best,4,13,11,3,7
69,43,No,Travel_Frequently,957,Research & Development,28,Bachelor,3,Medical,171,Medium,2,Female,72,Very High,4,1,Research Scientist,High,3,Single,4739,16090,4,No,12,Excellent,3,Very High,4,0,18,2,Better,3,3,2,1,2
70,34,No,Travel_Rarely,970,Research & Development,8,College,2,Medical,757,Medium,2,Female,96,High,3,2,Healthcare Representative,High,3,Single,6142,7360,3,No,11,Excellent,3,Very High,4,0,10,2,Better,3,5,1,4,3
71,31,Yes,Travel_Frequently,534,Research & Development,20,Bachelor,3,Life Sciences,587,Low,1,Male,66,High,3,3,Healthcare Representative,High,3,Married,9824,22908,3,No,12,Excellent,3,Low,1,0,12,2,Better,3,1,0,0,0
72,28,No,Travel_Rarely,1476,Research & Development,16,College,2,Medical,412,Medium,2,Male,68,Very High,4,2,Healthcare Representative,Low,1,Single,5661,4824,0,No,19,Excellent,3,High,3,0,9,2,Better,3,8,3,0,7
73,31,No,Travel_Rarely,154,Sales,7,Master,4,Life Sciences,941,Medium,2,Male,41,Medium,2,1,Sales Representative,High,3,Married,2329,11737,3,No,15,Excellent,3,Medium,2,0,13,2,Best,4,7,7,5,2
74,41,No,Travel_Frequently,840,Research & Development,9,Bachelor,3,Medical,999,Low,1,Male,64,High,3,5,Research Director,High,3,Divorced,19419,3735,2,No,17,Excellent,3,Medium,2,1,21,2,Best,4,18,16,0,11
75,34,No,Travel_Frequently,1069,Research & Development,2,Below College,1,Life Sciences,256,Very High,4,Male,45,Medium,2,2,Manufacturing Director,High,3,Married,9547,14074,1,No,17,Excellent,3,High,3,0,10,2,Good,2,10,9,1,9
76,26,No,Travel_Frequently,496,Research & Development,11,College,2,Medical,390,Low,1,Male,60,High,3,2,Healthcare Representative,Low,1,Married,4741,22722,1,Yes,13,Excellent,3,High,3,1,5,3,Better,3,5,3,3,3
77,45,No,Non-Travel,1195,Research & Development,2,College,2,Medical,264,Low,1,Male,65,Medium,2,4,Manager,Very High,4,Married,16792,20462,9,No,23,Outstanding,4,Very High,4,1,22,1,Better,3,20,8,11,8
78,51,No,Travel_Frequently,237,Sales,9,Bachelor,3,Life Sciences,1282,Very High,4,Male,83,High,3,5,Manager,Medium,2,Divorced,19847,19196,4,Yes,24,Outstanding,4,Low,1,1,31,5,Good,2,29,10,11,10
79,27,No,Travel_Frequently,994,Sales,8,Bachelor,3,Life Sciences,56,Very High,4,Male,37,High,3,3,Sales Executive,High,3,Single,8726,2975,1,No,15,Excellent,3,Very High,4,0,9,0,Better,3,9,8,1,7
80,35,No,Travel_Frequently,200,Research & Development,18,College,2,Life Sciences,1412,High,3,Male,60,High,3,3,Manufacturing Director,Very High,4,Single,9362,19944,2,No,11,Excellent,3,High,3,0,10,2,Better,3,2,2,2,2
81,59,No,Travel_Frequently,1225,Sales,1,Below College,1,Life Sciences,91,Low,1,Female,57,Medium,2,2,Sales Executive,High,3,Single,5473,24668,7,No,11,Excellent,3,Very High,4,0,20,2,Good,2,4,3,1,3
82,59,No,Travel_Rarely,326,Sales,3,Bachelor,3,Life Sciences,1254,High,3,Female,48,Medium,2,2,Sales Executive,Very High,4,Single,5171,16490,5,No,17,Excellent,3,Very High,4,0,13,2,Better,3,6,1,0,5
83,29,No,Travel_Rarely,352,Human Resources,6,Below College,1,Medical,1865,Very High,4,Male,87,Medium,2,1,Human Resources,Medium,2,Married,2804,15434,1,No,11,Excellent,3,Very High,4,0,1,3,Better,3,1,0,0,0
84,44,Yes,Travel_Rarely,1376,Human Resources,1,College,2,Medical,1098,Medium,2,Male,91,Medium,2,3,Human Resources,Low,1,Married,10482,2326,9,No,14,Excellent,3,Very High,4,1,24,1,Better,3,20,6,3,6
85,45,No,Travel_Rarely,561,Sales,2,Bachelor,3,Other,606,Very High,4,Male,61,High,3,2,Sales Executive,Medium,2,Married,4805,16177,0,No,19,Excellent,3,Medium,2,1,9,3,Best,4,8,7,3,7
86,56,Yes,Travel_Rarely,310,Research & Development,7,College,2,Technical Degree,2032,Very High,4,Male,72,High,3,1,Laboratory Technician,High,3,Married,2339,3666,8,No,11,Excellent,3,Very High,4,1,14,4,Bad,1,10,9,9,8
87,47,No,Travel_Rarely,955,Sales,4,College,2,Life Sciences,1003,Very High,4,Female,83,High,3,2,Sales Executive,Very High,4,Single,4163,8571,1,Yes,17,Excellent,3,High,3,0,9,0,Better,3,9,0,0,7
88,37,Yes,Travel_Rarely,1141,Research & Development,11,College,2,Medical,1033,Low,1,Female,61,Low,1,2,Healthcare Representative,Medium,2,Married,4777,14382,5,No,15,Excellent,3,Low,1,0,15,2,Bad,1,1,0,0,0
89,41,No,Travel_Rarely,465,Research & Development,14,Bachelor,3,Life Sciences,227,Low,1,Male,56,High,3,1,Research Scientist,High,3,Divorced,2451,4609,4,No,12,Excellent,3,Low,1,1,13,2,Better,3,9,8,1,8
90,40,No,Non-Travel,1094,Sales,28,Bachelor,3,Other,615,High,3,Male,58,Low,1,3,Sales Executive,Low,1,Divorced,10932,11373,3,No,15,Excellent,3,High,3,1,20,2,Better,3,1,0,0,1
91,51,No,Travel_Rarely,942,Research & Development,3,Bachelor,3,Technical Degree,1786,Low,1,Female,53,High,3,3,Manager,High,3,Married,13116,22984,2,No,11,Excellent,3,Very High,4,0,15,2,Better,3,2,2,2,2
92,33,No,Travel_Rarely,586,Sales,1,Bachelor,3,Medical,855,Low,1,Male,48,Very High,4,2,Sales Executive,Low,1,Divorced,4037,21816,1,No,22,Outstanding,4,Low,1,1,9,5,Better,3,9,8,0,8
93,47,No,Non-Travel,1169,Research & Development,14,Master,4,Technical Degree,1934,High,3,Male,64,High,3,2,Research Scientist,Medium,2,Married,5467,2125,8,No,18,Excellent,3,High,3,1,16,4,Best,4,8,7,1,7
94,34,Yes,Non-Travel,967,Research & Development,16,Master,4,Technical Degree,1905,Very High,4,Male,85,Low,1,1,Research Scientist,Low,1,Married,2307,14460,1,Yes,23,Outstanding,4,Medium,2,1,5,2,Better,3,5,2,3,0
95,29,No,Travel_Rarely,1086,Research & Development,7,Below College,1,Medical,912,Low,1,Female,62,Medium,2,1,Laboratory Technician,Very High,4,Divorced,2532,6054,6,No,14,Excellent,3,High,3,3,8,5,Better,3,4,3,0,3
96,29,No,Travel_Frequently,1404,Sales,20,Bachelor,3,Technical Degree,974,High,3,Female,84,High,3,1,Sales Representative,Very High,4,Married,2157,18203,1,No,15,Excellent,3,Medium,2,1,3,5,Better,3,3,1,0,2
97,40,No,Travel_Rarely,905,Research & Development,19,College,2,Medical,281,High,3,Male,99,High,3,2,Laboratory Technician,Very High,4,Married,2741,16523,8,Yes,15,Excellent,3,High,3,1,15,2,Best,4,7,2,3,7
98,46,No,Travel_Frequently,638,Research & Development,1,Bachelor,3,Medical,124,High,3,Male,40,Medium,2,3,Healthcare Representative,Low,1,Married,10673,3142,2,Yes,13,Excellent,3,High,3,1,21,5,Good,2,10,9,9,5
99,45,No,Travel_Rarely,974,Research & Development,1,Master,4,Medical,996,Very High,4,Female,91,High,3,1,Laboratory Technician,Very High,4,Divorced,2270,11005,3,No,14,Excellent,3,Very High,4,2,8,2,Better,3,5,3,0,2
100,50,No,Travel_Frequently,809,Sales,12,Bachelor,3,Marketing,174,High,3,Female,77,High,3,3,Sales Executive,Very High,4,Single,9208,6645,4,No,11,Excellent,3,Very High,4,0,16,3,Better,3,2,2,2,1
101,43,No,Travel_Frequently,185,Research & Development,10,Master,4,Life Sciences,430,High,3,Female,33,High,3,1,Laboratory Technician,Very High,4,Single,2455,10675,0,No,19,Excellent,3,Low,1,0,9,5,Better,3,8,7,1,7
102,50,No,Travel_Rarely,1126,Research & Development,1,College,2,Medical,997,Very High,4,Male,66,High,3,4,Research Director,Very High,4,Divorced,17399,6615,9,No,22,Outstanding,4,High,3,1,32,1,Good,2,5,4,1,3
103,49,No,Travel_Rarely,1418,Research & Development,1,Bachelor,3,Technical Degree,887,High,3,Female,36,High,3,1,Research Scientist,Low,1,Married,3580,10554,2,No,16,Excellent,3,Medium,2,1,7,2,Better,3,4,2,0,2
104,42,No,Travel_Frequently,1271,Research & Development,2,Below College,1,Medical,875,Medium,2,Male,35,High,3,1,Research Scientist,Very High,4,Single,2515,9068,5,Yes,14,Excellent,3,Very High,4,0,8,2,Better,3,2,1,2,2
105,39,No,Travel_Rarely,116,Research & Development,24,Below College,1,Life Sciences,2014,Low,1,Male,52,High,3,2,Research Scientist,Very High,4,Single,4108,5340,7,No,13,Excellent,3,Low,1,0,18,2,Better,3,7,7,1,7
106,29,Yes,Travel_Frequently,115,Sales,13,Bachelor,3,Technical Degree,1487,Low,1,Female,51,High,3,2,Sales Executive,Medium,2,Single,5765,17485,5,No,11,Excellent,3,Low,1,0,7,4,Bad,1,5,3,0,0
107,34,No,Non-Travel,1381,Sales,4,Master,4,Marketing,523,High,3,Female,72,High,3,2,Sales Executive,High,3,Married,6538,12740,9,No,15,Excellent,3,Low,1,1,6,3,Better,3,3,2,1,2
108,35,No,Travel_Rarely,992,Research & Development,1,Bachelor,3,Medical,1564,Very High,4,Male,68,Medium,2,1,Laboratory Technician,Low,1,Single,2450,21731,1,No,19,Excellent,3,Medium,2,0,3,3,Better,3,3,0,1,2
109,41,No,Travel_Rarely,483,Research & Development,6,Bachelor,3,Medical,466,Very High,4,Male,95,Medium,2,2,Manufacturing Director,Medium,2,Single,6032,10110,6,Yes,15,Excellent,3,Very High,4,0,8,3,Better,3,5,4,1,2
110,49,Yes,Travel_Rarely,1184,Sales,11,Bachelor,3,Marketing,840,High,3,Female,43,High,3,3,Sales Executive,Very High,4,Married,7654,5860,1,No,18,Excellent,3,Low,1,2,9,3,Best,4,9,8,7,7
111,35,No,Travel_Rarely,660,Sales,7,Below College,1,Life Sciences,1492,Very High,4,Male,76,High,3,1,Sales Representative,High,3,Married,2404,16192,1,No,13,Excellent,3,Low,1,1,1,3,Better,3,1,0,0,0
112,44,No,Travel_Rarely,1313,Research & Development,7,Bachelor,3,Medical,1608,Medium,2,Female,31,High,3,5,Research Director,Very High,4,Divorced,19049,3549,0,Yes,14,Excellent,3,Very High,4,1,23,4,Good,2,22,7,1,10
113,37,No,Travel_Rarely,408,Research & Development,19,College,2,Life Sciences,61,Medium,2,Male,73,High,3,1,Research Scientist,Medium,2,Married,3022,10227,4,No,21,Outstanding,4,Low,1,0,8,1,Better,3,1,0,0,0
114,24,No,Travel_Rarely,771,Research & Development,1,College,2,Life Sciences,1981,Medium,2,Male,45,Medium,2,2,Healthcare Representative,High,3,Single,4617,14120,1,No,12,Excellent,3,Medium,2,0,4,2,Good,2,4,3,1,2
115,43,No,Travel_Rarely,982,Research & Development,12,Bachelor,3,Life Sciences,520,Low,1,Male,59,Medium,2,4,Research Director,Medium,2,Divorced,14336,4345,1,No,11,Excellent,3,High,3,1,25,3,Better,3,25,10,3,9
